disaster,n_positive,mean_dice,median_dice,mean_iou,n_empty,mean_fpr
midwest-flooding,26,0.2677,0.0,0.2122,89,0.000518
santa-rosa-wildfire,164,0.7107,0.7812,0.5835,59,0.00013
socal-fire,88,0.5308,0.6666,0.4213,288,0.000171
