disaster,n_positive,mean_dice,median_dice,mean_iou,n_empty,mean_fpr
midwest-flooding,26,0.2592,0.0,0.2117,89,0.00026
santa-rosa-wildfire,164,0.7018,0.777,0.5738,59,0.000766
socal-fire,88,0.5141,0.6596,0.4063,288,0.000216
